null,c0
-98252.656141,-98252.656141
-99404.692525,-99403.460908
-99290.196307,-99290.196307
-98692.280550,-98692.266195
-98739.161717,-98739.161717
-97822.277131,-97822.277131
-98822.844936,-98822.422125
-98875.923034,-98875.922364
-99039.643725,-99039.636263
-99702.653408,-99701.853127
-99009.847336,-99009.144066
-98961.981928,-98960.140826
-98789.373924,-98789.244829
-98605.219718,-98605.008020
-98709.540389,-98709.390821
-98990.957616,-98990.807005
-99670.347521,-99670.347521
-99491.174191,-99491.174191
-98498.624303,-98498.616094
-99383.569311,-99383.569311
-98053.185319,-98051.355842
-99872.327098,-99872.327098
-98704.654680,-98704.653550
-98665.743209,-98665.743209
-98836.228758,-98836.129289
-99468.504372,-99468.336773
-99215.746766,-99214.060756
-98265.047185,-98265.047185
-98886.774593,-98886.758629
-100446.004330,-100446.002029
-98415.420451,-98415.420451
-98810.148294,-98810.148294
-98610.914630,-98610.914630
-99245.889808,-99245.651007
-98872.410220,-98872.015621
-99345.999307,-99345.999307
-98315.642029,-98315.641169
-98739.597709,-98737.460278
-98868.755461,-98866.006247
-99184.335350,-99183.868150
-99294.462194,-99294.462194
-99623.293713,-99622.622763
-99200.571349,-99200.278669
-98765.625286,-98765.625286
-98707.634717,-98707.634717
-99817.480604,-99817.480604
-99775.256554,-99775.256554
-99915.190370,-99914.204864
-99781.104918,-99780.860187
-98468.298082,-98467.193148
-99337.475102,-99337.475102
-99148.757783,-99148.757783
-99852.424121,-99852.194699
-99806.875571,-99806.875571
-99242.999589,-99242.988400
-97907.819381,-97907.681936
-99862.300018,-99862.300215
-99406.109971,-99406.109971
-99212.085979,-99212.088482
-100418.445969,-100417.950188
-99111.180565,-99110.968551
-97972.720776,-97972.720776
-98250.664344,-98250.262541
-100185.108891,-100185.108891
-99140.053723,-99139.872883
-99160.199848,-99160.199848
-98423.587707,-98422.414779
-98466.398252,-98466.351274
-99594.564241,-99594.564241
-98659.440816,-98659.440816
-99236.809534,-99236.807658
-99085.610786,-99085.610787
-99082.766493,-99081.812265
-98064.065901,-98064.065900
-98530.360926,-98530.151066
-99237.759309,-99237.059985
-99366.472434,-99365.834324
-99400.295354,-99399.975007
-97825.271650,-97820.568177
-99360.844076,-99360.822489
-98403.817239,-98403.817239
-98856.337344,-98856.337344
-98636.463430,-98636.240727
-99110.002087,-99110.002087
-99738.589865,-99736.783167
-98997.014077,-98996.934357
-99424.227637,-99424.227637
-99468.010899,-99467.943377
-99408.979108,-99408.550160
-99146.267713,-99146.267713
-99461.823664,-99461.314001
-99125.601275,-99124.439103
-98423.218506,-98422.196928
-99449.037820,-99448.550185
-98310.390929,-98310.390929
-98610.019448,-98610.019448
-99066.547357,-99066.547357
-98818.354382,-98818.266153
-99647.959298,-99647.823761
-99553.070753,-99553.027264
-98065.137286,-98065.137286
-99211.059133,-99210.778435
-98476.026320,-98474.520041
-98720.799506,-98720.799506
-98746.109300,-98746.109300
-98447.362307,-98447.344225
-98914.147804,-98914.147804
-100023.423369,-100023.423369
-98802.028669,-98802.028669
-99257.181792,-99256.608269
-99911.278793,-99911.214540
-98730.661143,-98729.692618
-99711.678460,-99711.678460
-98896.792077,-98896.757887
-98332.720264,-98332.663143
-99149.443516,-99149.443515
-99453.104857,-99453.003278
-98742.291635,-98742.291635
-98550.703996,-98550.391628
-99134.649700,-99134.437239
-99673.882741,-99671.490824
-99774.169676,-99773.619139
-99759.763864,-99759.763864
-98773.438389,-98773.438389
-98731.865165,-98731.865165
-98888.403145,-98888.403145
-98720.555796,-98720.555796
-99152.579724,-99152.495427
-99814.717428,-99814.310929
-99731.640100,-99731.458425
-99422.946968,-99422.946968
-99653.634928,-99653.631472
-98579.999658,-98579.999658
-99230.990483,-99230.990483
-97985.012034,-97985.012034
-98648.334756,-98647.567557
-99360.710166,-99360.710166
-99076.310329,-99076.310329
-98815.388270,-98815.384142
-98754.176747,-98754.122825
-98346.640602,-98346.640258
-99031.844134,-99031.844134
-98624.914000,-98624.914000
-99316.333459,-99316.333459
-99416.588950,-99416.588950
-97810.504617,-97807.945734
-99036.191983,-99036.191983
-99073.648507,-99073.648502
-99514.265088,-99514.177196
-98704.240801,-98703.635045
-99753.570600,-99753.436138
-98159.151005,-98159.150552
-98217.981798,-98217.981798
-98633.568706,-98633.568709
-99964.146940,-99964.117188
-98788.765843,-98788.765844
-99985.079879,-99983.195251
-98908.873842,-98908.696297
-98610.999351,-98610.999351
-99417.510067,-99417.495781
-99257.619701,-99257.619701
-99731.999601,-99731.982018
-99221.807053,-99221.677997
-99531.545603,-99530.744838
-99361.614245,-99361.614437
-98846.834744,-98846.834744
-100131.813116,-100131.813116
-99431.738058,-99429.833783
-99320.099301,-99320.099301
-99515.082549,-99513.912565
-99851.967430,-99851.967433
-99276.945886,-99276.840317
-99037.948283,-99037.364358
